数据编号,comment,label
1670,#致敬疫情前线医护人员#感谢医护人员！你们辛苦了！,happy
1671,//@干你Q事 :妈个比我要骂人了，春晚报疫情看得我眼泪汪汪，另一边是这些人在吃人血,angry
1672,真的是煞笔的官僚主义@人民日报 //@巷陌Leon:评论一起看。//@麦柯思:回顾一下,angry
1673,看到这个视频好好哭?,sad
1674,请问我家小县城平时一块一包，现在18块一包，打击了吗[微笑],sad
1675,#全国已确诊473例新型肺炎病例#野味到底有多野？ 吃明白了吗[微笑] 憨批 ??,angry
1676,[并不简单],happy
1677,22号晚上送出9万武汉人，第二天0点后发布微博，宣布23号上午十点封城，我是早上5点才睡着的，发布到封锁前后这段时间也不公布高速线路详情和有没有物资措施，下午5点封锁高速，这是赶人，不是封城[拜拜]//@君辰_短腿狐://@HUASHUI1911:所以反而一波操作让感染者往全国各地跑？,angry
1678,[泪][泪][泪],sad
1679,谁说的？//@-豹一-://@11·58PM :谁说的？//@荔枝桠 :“人不能同时在一条河里栽倒两次”——中国人：谁说的？,angry
1680,每条微博下面都有安徽人求助[摊手][摊手][摊手]今年我就不是安徽人了！丢人！[摊手][摊手][摊手][摊手],angry
1681,#新型肺炎确诊440例死亡9例#     加油? ? ? ??,happy
1682,哥哥新年快乐,happy
1683,对恐慌的恐慌导致失职,angry
1684,//@郑爽SZ:#致敬疫情前线医护人员# 请大家都保护好自己！致敬英雄，我们共同前行！,happy
1685,@罗云熙Leo 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@罗云熙Leo:大家一定要多多注意，戴好口罩，注意保暖，保护好自己，都平平安安回家过节???,happy
1686,//@歌且行风长吟·://@荷兰鸭:不要对不起呀[泪]//@协和医生Do先生:这是最新医院名单，恳请转发出去，今天是大年三十，给你们添麻烦了，对不起，对不起，但我们真的需要支援，恳求你们转发出去，让有能力的人帮助我们，我代表全体一线战友谢谢你们！对不起！,fear
1687,保护好自己，就是保护好他人[心],happy
1688,保护自己 保护他人 哈哈哈哈耶啵好像机器人读台词 感觉还在看提词器[doge],happy
1689,肺炎？？？？咋回事啊 ??,surprise
1690,平生第一次看微博QQ朋友圈脑仁要炸了明天我要关机当个死人我不看病毒病毒不看我希望大家我命由我不由天，做好防护抗肺炎希望明天开始情况好转好了，我要关机当个死人了大家再见[月亮] ??,fear
1691,武汉人民加油！[心],happy
1692,全国延迟开学吧我是真的害怕?,fear
1693,//@鞠婧祎:#武汉加油# 我们一起，打赢这场防疫战?,happy
1694,因为喜欢你?，我满意过 //@Mo佼佼loveLGL:武汉加油?//@PizzaForLai_赖冠霖数据站:#武汉加油# 加油?我们一起打赢这场防疫战,happy
1695,我生在湖北 长在湖北 在这种特殊时刻我更爱湖北  武汉的壮士断腕之举是迫不得已 疫情的传播也早已不在预料之内  不信谣不传谣 但也请正视事态危急 积极配合防范 我的表哥带着家人留在武汉选择不回家过年 我的家人选择不外出走亲访友 我们不一定是病毒的携带者 可只要有万分之一的可能性会带给其他人危险 我们都愿意采取主动隔离措施  没有哪一刻让我觉得如此幸运 我的家人都是明理知理的人  在我提出出门戴口罩 回家消毒 盐水漱口 包括过年不走亲戚等等要求后 他们都愿意配合我  处在风眼的周边 连一丝平静也不再有了 我们在战战兢兢中依然期盼着疫情在一夜之间发生转机  然而将大自然伤害的遍体鳞伤的人类 又怎么可能获得上天的怜悯  未来请保持善良[心],sad
1696,没有得过的人都是易感人群啊啊啊啊！！不是说青壮年就不是易感！,fear
1697,一个机场铁路赶不上要等零点的大巴另一个就一晚上不用睡觉了直接去机场大眼瞪小眼得了四月还不知道肺炎会不会好 不好的话转机时间也不够综上所述我真的要打地铺在Incheon了[嘻嘻] ??,sad
1698,请给他们五倍工资!疫情结束后轮流休假十天!求你们不要让他们流汗流泪又流血了,sad
1699,【云朵面包】入口即化，[太开心][太开心]专家介绍新型肺炎快速救治指南香甜松软，简直就是神仙美味，好吃到停不下来，美食get√  t.cn/A6vsVjl3 ? ??,happy
1700,1278……我坐过不止三次……,fear
1701,#山东累计确诊15例新型肺炎#山东急不急？反正我急了！@山东发布 ??,angry
1702,望平安 愿凯旋,happy
1703,加油(? ??_??)?//@肖战工作室:感谢有你！#致敬疫情前线医护人员#?愿医护人员做好防护！注意安全！[作揖],happy
1704,还踏马吃还踏马吃!!//@眨眼小纽扣:无奈//@·梦游仙境:真他妈的不是人啊 全国正在为你们的破嘴付出代价 多少无辜的人因为你们痛失生命  而且不知道未来还会不会再发生这样的情形 就他妈因为你们的嘴,angry
1705,#宁夏新型肺炎新增确诊1例#在外地的我给家里人说都不当回事[泪] ??,angry
1706,#全国确诊830例新型肺炎病例# 安徽#安徽确诊新冠肺炎15例#安徽#恳请安徽政府宣传疫情防范# 安徽#安徽累计新冠肺炎确诊病例15例# 安徽冲冲冲！政府重视！政府行动！安徽加油！政府给我好好办事！加强疫情防范！加大宣传力度！信息公开化具体化！谢谢@安徽省人民政府发布 ??,happy
1707,野味肺炎，就这名字了。不取这个总有人管不住嘴巴,angry
1708,//@蔡徐坤工作室:#抗击新型肺炎第一线# 致敬伟大的逆行者们，愿医护人员做好防护，平平安安。你们辛苦了[心],happy
1709,//@Ywaiang·://@都好说但是要先给钱:学会照顾自己与他人生命健康，新年望大家都平安健康,happy
1710,#防控肺炎父母不听劝怎么办#气死我了气死我了气死我了就是不听劝，还有人说口罩是被我们买涨价的，艹艹艹，要不是为了大家安全着想谁想带那玩意儿[怒][怒][微笑] ??,angry
1711,你也是啊//@努力努力再努力x:#抗击新型肺炎第一线# 致敬伟大的逆行者们 一定要平平安安[心],happy
1712,能不出门就不出门，加油陕西，大年初七还正常上班吗[并不简单][并不简单][并不简单],happy
1713,希望我首页的人们不用私信莲子，新的一年健健康康平安喜乐,happy
1714,保护好自己！ http://t.cn/A6P2RtWp,happy
1715,23岁，所以年轻人也会感染，所以，最近到过武汉的，自觉检测一下自己的健康状况吧。,fear
1716,加油?,happy
1717,天呐。医务人员都感染了。怕怕,fear
1718,武汉加油//@华晨宇yu:#武汉加油#  我们一起打赢这场防疫战,happy
1719,加油//@X玖少年团肖战DAYTOY:#武汉加油# 加油！我们一直都在！,happy
1720,//@她就是我旧时光里的光:贪嘴吃“野味”，真祸国殃民[弱][弱],angry
1721,@森林无对象 十斤 牛逼,happy
1722,@华晨宇yu 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@华晨宇yu:#武汉加油#  我们一起打赢这场防疫战,happy
1723,#野味肺炎# 也没啥意思，蝙蝠挺好吃吧[微笑]没吃死您真是太可惜了 ??,angry
1724,愿有更多好消息,sad
1725,#武汉加油# 武汉加油，我们在一起一起加油度过//@朱一龙:#武汉加油#我们在一起[心],happy
1726,[中国赞],happy
1727,我的天 这车过我们这里哎//@一杓又一杓:1月23日，由汉口发出至哈尔滨西、20时33分到达的  G1278次列车2号车厢（评论大型地方控评现场）,fear
1728,//@真十内:在这点上西山居还是那个西山居，谢谢你们～[作揖],happy
1729,真厉害? ??,happy
1730,没进化好的野人才吃野味[胖红生气],angry
1731,[跪了][跪了],sad
1732,这样的时刻中央愿意开通这样的渠道值得肯定,happy
1733,新年快乐[心],happy
1734,#致敬疫情前线医护人员#  请一定注意安全[心]//@小辫儿张云雷:#致敬疫情前线医护人员# 你们辛苦了！保护好自己，愿健康平安[心],happy
1735,#黑龙江确认首例新型肺炎病例#武汉到牡丹江没得直达，很大可能要哈尔滨中转，哈尔滨挺住啊 ??,fear
1736,等待英雄凯旋！[赞][赞][赞],happy
1737,下一任市长//@瓶子LAN-LIN:其实刚好一次性把他们全控制隔离观察了啊，人员集中，省得还要去找,angry
1738,真应该好好结婚安家立业，瞎折腾，哭晕,sad
1739,智行退票还要手续费@智行,angry
1740,武汉，加油[加油],happy
1741,武汉加油，我们一起挺(???_??)?,happy
1742,小孩往窨井扔鞭那个事从央视到各地方台各频道，播了好几天。这种烟花爆竹限控难度、危险概率和可预防性与旅游意外相比如何？ 服从领导听“引导”没错，但自己的事自己得明白——旅游作为一种消费也要讲效益和效率:走了许多地方花了许多钱，真的有益身心了吗？如果带回点新冠状病毒…… 家和家乡不够吗？窗外的云，家乡的水，安静的时光，亲人的面庞，就那么让人腻烦吗？,angry
1743,#武汉15名医务人员感染新型冠状病毒#  要平安要平安?????? ??,happy
1744,太棒了！！！！[心][心][心][心],happy
1745,//@R1SE-任豪:致 所有的为了这场战役永不停歇的你们[心][心][心],happy
1746,你也要记得哦，我今天戴口罩了！保护别人，从保护自己开始!!//@王博文小白:向伟大的医护人员们致敬，请你们一定要保护好自己，大家出门记得戴口罩，做好防护措施，希望所有人都能平安。[心],happy
1747,预防+平安?,happy
1748,[心]//@蔡徐坤:#武汉加油# 我们一起，打赢这场防御战！向战斗在一线的医护人员致敬！,happy
1749,[ok][傻眼][酷]有点意思啦，哈哈哈，[傻眼],happy
1750,//@浪里赤条小粗林:视频1分半不长大家都看看。家里自我隔离防范的意识真的很重要！！电梯病房等小空间都是特别容易感染的地方！必须戴口罩！,happy
1751,卧槽！！！这也能吃得下？！饭桌上要是摆这么一盆汤我能极限800米跑[费解],angry
1752,要相信我们的国家！[good][加油],happy
1753,辛苦了!  都是英雄[抱抱],happy
1754,韩束太棒了,happy
1755,#全国已确诊473例新型肺炎病例#这速度也太吓人了吧，麻烦慢一点，快过年了，人心惶惶的，那些乱买野味来吃的人到底咋想的，害人害己[微笑][微笑][微笑] ??,fear
1756,致敬[心],happy
1757,//@子陵在听歌:我在进行病毒学研究的学弟写的关于新型冠状病毒肺炎的科普，写的非常好。重点是这个病毒传染能力一般，比它的近亲SARS弗如远甚。大部分患者都能自愈。所以不必惊慌。,happy
1758,如何能让家里的人老人懂得这些道理 我心太累了[跪了],sad
1759,希望大家都能挺住[泪]//@花总:湖北有些官僚真是mmp//@猫毛飞飞:人命关天的时候，赶紧换人吧,angry
1760,瑟瑟发抖！重庆挺住啊！！,fear
1761,安徽我感觉真的没什么措施 合肥一个市确诊的都赶上人家一个省了[跪了]//@终极拖延症K:建议安徽省政府也学学,sad
1762,病毒面前，人人自危,fear
1763,//@王北车数据组:#致敬疫情前线医护人员# 致敬英雄们 愿你们平安健康//@王北车:#致敬疫情前线医护人员# 英雄们，谢谢你们，你们辛苦了！希望所有人都能平安！[心],happy
1764,拒绝出门吃年饭，我妈说你去你奶奶家就去不得你外婆家了？（去奶奶那边是10天前而且是荒无人烟的乡下，特安全跟避难似的。但外婆在家里开了个老年人麻将室，还要经过一带菜市场）问题来了，我要不要为了安慰我妈的自尊心以及家里外公外婆的等待，冒险去吃一次年夜饭[抓狂]谁想做冷血的人，但的确是怕出门，一想到要被逼着出门就想哭，更重要的是身外公外婆身体不好，这段时间我只想让他们在家里躲会，谁也别见[跪了] #武汉封城#,fear
1765,全力支持国家！年后口罩啥的应该都恢复生产了，那些再家里面屯了很多很多实际上用不完的能不能捐一点给前线啊！我们出钱买！真的啊啊啊医护人员压力很大呀[泪][泪][泪] 好心碎。 该来的逃不了，那一堆堆讨伐的等着看！一堆憨批些,angry
1766,//@东一一:又是半夜鸡叫，武汉新增136例，确诊病例呈数倍的态势往上增。该启动每日一报制度了！,fear
1767,//@腐格格:好好看啊小居//@南小风丶:#朱一龙央视春晚# 接受采访的帅哥,happy
1768,//@TFBOYS-易烊千玺:#致敬疫情前线医护人员#向所有医护人员致敬！希望大家都做好防护措施，愿所有人都平安健康。//@TFBOYS组合:#致敬疫情前线医护人员# 致敬伟大的医护人员们，你们辛苦了！愿大家都能平安健康[心][心][心],happy
1769,//@MD_摩登兄弟:#致敬疫情前线医护人员# 你们辛苦了。救助他人的同时一定一定保护好自己?,happy
1770,//@瓜农与花农:武汉加油,happy
1771,//@西升月:高度重视 理性对待//@王俊凯今天犯规了吗:照顾好自己是最大的财富[兔子]//@KARRY_19号:教授的解释挺好的，对很多最近的热点问题做了说明，大家可以了解一下，一定保护好自己，过个好年[爱你]除夕快乐 平平安安,happy
1772,//@薄晓智:奥力给！干了兄弟们！//@uni_ykph1coogieDpyo:我吐了 怎么吃得下去,surprise
1773,//@啊荷_:疫情发生，大家都要提高警惕，照顾好自己。医护人员奋斗在第一线，更要保护好自己。我们一起加油，共渡难关，要平平安安过大年！?,happy
1774,[费解][费解][费解]//@AnZhIcOnG_:@舟山网警巡查执法 大过年的也不骂人了 //@太阴心识:浙都27例了，竟然这么多！相对而言，浙人口不多，地也不大，竟然比例这么高！武汉人如果愿意，舟山群岛那边有很多小岛，你们可以去小岛上避难，不要跑人群聚集地嘛！,fear
1775,32//@阿云嘎嘎的闪电宝:#致敬疫情前线医护人员#向所有医护人员致敬，你们是人民的英雄[心]//@阿云嘎Musical:大家积极防治，感谢医护人员对我们的无私付出 #致敬疫情前线医护人员#,happy
1776,#全国确诊830例新型肺炎病例#前天200+昨天400+今天800+这是倍数增长啊可是病毒传播应该指数增长更合理吧 ??,surprise
1777,惊呆了，都学习一下南京人好吗？提升一下素质！,surprise
1778,四面楚歌,fear
1779,视频看的心里真难受……,sad
1780,谁偷拍我爸呢？我爸就这样,angry
1781,//@何小沁:我靠！！[衰][衰][衰]//@陈迪Winston:过去两天之内新确认136例，迄今共计确认198例，这两天之前的全部时间确认62例,fear
1782,妈的这怎么搞,angry
1783,//@享享阝阝:还聚会呢还走亲戚呢[微笑]走你大爷阿走走走气死我了,angry
1784,安徽zf加大管控力度啊，街上戴口罩的少之又少,fear
1785,#跟着易烊千玺益起来# [心],happy
1786,武汉人民加油,happy
1787,[吃瓜][吃瓜][吃瓜]//@麻麻我拉粑粑了:#宋茜[超话]# 大家平安[心]你保护好自己[心]//@宋茜:#致敬疫情前线医护人员#向英雄致敬！大家注意卫生防护，保护好自己，愿所有人平安健康?,happy
1788,感谢这个世界有你们[心]白衣天使[赞][赞][赞],happy
1789,[话筒]?//@以芥菜的名义:?//@蔡徐坤:#武汉加油# 我们一起，打赢这场防御战！向战斗在一线的医护人员致敬！,happy
1790,别人避之不及而他们却要迎难而上像他们致敬祝他们早日凯旋#健康中国2030##科普大作战##新型冠状病毒肺炎纳入法定传染病# ??,happy
1791,//@宇宙台长:天啊//@老鸡灯儿://@财新网:管轶表示，SARS的60%-70%的感染者都是来自个别超级传播者，传播链很清晰，只要封堵那几个人的接触者就可以了。但是这次，传播源已经全面铺开了，要做流行病学调查已经做不了了。保守估计，此次感染规模是SARS的10倍起跳。我经历过这么多，从没有感到害怕过，大,surprise
1792,戴口罩勤洗手好好休息，别睡的太晚[心][心][心]//@张炯敏:武汉加油！！,happy
1793,一定会好的[泪][泪][泪],happy
1794,[好喜欢]//@卡卡熊熊:一定会好的,happy
1795,//@TheChans-易烊千玺个站:致敬！宝贝也要做好防护哦。//@TFBOYS-易烊千玺:#致敬疫情前线医护人员#向所有医护人员致敬！希望大家都做好防护措施，愿所有人都平安健康。//@TFBOYS组合:#致敬疫情前线医护人员# 致敬伟大的医护人员们，你们辛苦了！愿大家都能平安健康[心][心][心],happy
1796,#疫情地图#加油，如果奇迹有颜色的话，那一定是中国红！ http://t.cn/R2WxEwI ??湘西土家族苗族自治州·花垣县,happy
1797,怕什么 没有月色有星辰 没有山河你有我们。,happy
1798,这大年纪还在工作，太辛苦了！保重身体，好人一生平安?,happy
1799,艹哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈//@Ss能够生存就有恃无恐:你见过得肺炎的柚子吗？？？//@tease009:水果怎么办？,happy
1800,卧槽 好慌[泪][泪],fear
1801,白衣天使加油?中国加油呀? 愿大家都能平安健康[心][心][心],happy
1802,[失望]//@awqylw路人:上午才九个的一下子17个[悲伤]//@卖不出衣服的小哥哥:死亡17例？？？是我看错了吗[失望][失望]怎么一下突然这么多啊,fear
1803,增速越来越快了???这个年真是忐忑……,fear
1804,哥哥记得记得记得戴口罩，注意身体，也致敬白衣天使！//@努力努力再努力x:#抗击新型肺炎第一线# 致敬伟大的逆行者们 一定要平平安安[心],happy
1805,#武汉加油# 这个除夕真的很特别，所有人都在忙着过年，走亲访友！医护人员们却全体待命和这场疫病抗争，作为普通人的我们只有保护好自己才能不给前线的医护人员们添麻烦！别让无知害了你和你的家人！ 祝各位新年快乐！平安顺遂！出门记得戴口罩?,happy
1806,//@UNIQ-王一博:#武汉加油#咱们一起打赢这场防疫战！祝福大家都平安！[心]加油,happy
1807,请在疫情前线的医护人员照顾好自己//@杜若溪:致敬在疫情前线的医护人员，你看到阳光，那是因为总有人为你负重前行[心]为他人，为自己做好防范：戴口罩，勤洗手，祈祷疫情早点过去??,happy
1808,加油！要平安！！,happy
1809,我真的想啥了吃野味的臭逼 年三十家家户户团圆 可是有人在奔赴一线 为什么要给你们擦屁股啊 你们死绝了算了//@auaiaiihhe:辛苦了[泪],angry
1810,平安健康[羞嗒嗒],happy
1811,[good],happy
1812,#新型肺炎已致湖北17人死亡##新型冠状病毒怕酒精不耐高温# 好害怕啊 都不敢出门了。这个新型肺炎能被治愈吗？[失望] ??,fear
1813,//@八大山债人:真正的人类奸。。。//@老刀99: 天灾军团官员[拜拜]//@黑暗王朝:瘟疫公司雇员[挖鼻],angry
1814,//@深瀬森森:也不妨看看记者，平等的交流现在竟然是件稀罕事,angry
1815,晕了发这种财有意思？,angry
1816,[给力],happy
1817,加油！致伟大的医护人员们//@TFBOYS组合:#致敬疫情前线医护人员# 致敬伟大的医护人员们，你们辛苦了！愿大家都能平安健康[心][心][心],happy
1818,[蝙蝠侠]心事浩茫连广宇，于无声处听惊雷。[喵喵][鼓掌]拾,happy
1819,[鲜花]//@哈喽菜菜小朋友:武汉加油 //@蔡徐坤:#武汉加油# 我们一起，打赢这场防御战！向战斗在一线的医护人员致敬！,happy
1820,疫情发展到现在山西只有一例确诊，那么确诊病人情况如何？有无疑似？进行了哪些及时的防治预约措施？我们通通不知道！！！！家里中年人和老年人根本不听劝！恳请山西政府一级响应??????????????,angry
1821,#全国确诊新型肺炎病例#河南都五人了，出门记得戴口罩，勤洗手，不要去人多的地方 ??,surprise
1822,#武汉新型肺炎#这一刻，我可以献出我的全部乃至我的生命，只要可以换来武汉爷爷奶奶叔叔阿姨哥哥姐姐弟弟妹妹和小朋友的平安！为武汉祈福。武汉加油！中国加油！ ??,happy
1823,武汉封城???,surprise
1824,傻逼 死了棺材都买不到的,angry
1825,无语了,sad
1826,安徽zf真的是完全不急呢？明明是领省且有大量务工人员回乡谁知道有多少无法确诊？合肥尚且这样底下的市县更别说了，就这样让其发酵，街上戴口罩的都没几个人zf领导都回家过年了吗？//@橘猫落泪:安徽你急一急好吗,angry
1827,徐峥导演牛逼！,happy
1828,“往年这个时候首页都是各种段子，各种拜年，大家快快乐乐的，因为这些个吃野味的憨憨，我都忘了今天就是除夕[伤心]”//@蜜桃乌龙茶Kristen：“在灾难面前， 人类又回到最原始最简单的愿望， 好好活着”,sad
1829,//@华晨宇yu:#武汉加油#  我们一起打赢这场防疫战,happy
1830,平安还有幸福[心]//@UNIQ-王一博:#武汉加油#咱们一起打赢这场防疫战！祝福大家都平安！[心],happy
1831,//@王者荣耀代打小哥哥丶:2003年非典，全世界守护90后，2020年，换90后守护这个世界。 ?,happy
1832,求求了，我好怕交叉感染,fear
1833,#河北确诊首例新型肺炎病例# 河北加油，邢台加油 http://t.cn/Rpzur9r ??邢台·任县,happy
1834,[泪][泪][泪],sad
1835,双手赞,happy
1836,[good][good],happy
1837,武汉加油！//@蔡徐坤:#武汉加油# 我们一起，打赢这场防御战！向战斗在一线的医护人员致敬！,happy
1838,wor郴州郴州艹艹艹救我救我,fear
1839,//@THEO-朱正廷 :大家出门一定要带口罩，可以的话还是要尽量减少外出。每个人都要平平安安健健康康的！希望战斗在一线的医护人员也要保护好自己，辛苦了！！！,happy
1840,呃。 今天医闹死绝了吗。 没有。,angry
1841,//@阿云嘎嘎的闪电宝:#致敬疫情前线医护人员#向所有医护人员致敬，你们是人民的英雄[心]//@阿云嘎Musical:大家积极防治，感谢医护人员对我们的无私付出 #致敬疫情前线医护人员#,happy
1842,持续关注疫情，超级害怕，真切的体会到人类命运共同体，希望所有的人都健康[泪][泪] ??,happy
1843,[围观][黑线][泪]感谢给力转发[路过这儿][din爱你][haha],happy
1844,一定都要健健康康平平安安 拜托了,happy
1845,武汉加油,happy
1846,#安徽确诊新冠肺炎15例#安徽政府终于开始营业了？村镇的消息需要政府的大力推进，希望铜陵市挺住啊。全国各地人民都稳住共渡难关。村里面的大部分年轻人出门已经戴上口罩，我爸妈出门办事也自觉戴上口罩?一切都在朝积极的方向发展！ http://t.cn/R2WxWqi ??铜陵,happy
1847,一起//@蔡徐坤:#武汉加油# 我们一起，打赢这场防御战！向战斗在一线的医护人员致敬！,happy
1848,#医疗科普[超话]#新冠状病毒肺炎预防中药方，武汉加油！中国加油！祝全国人民春节快乐！祖国平安万岁！ ???,happy
1849,请问有什么可以治这类死要面子的中年男人吗？我一说就觉得我是小孩子说的话不可信气死我了//@虾即把聊:气死我了，怎么讲我爸就是不戴口罩，让不要吃野味都叭叭叭“以前人吃了这么多啦怎么可能有问题”，气死我了,angry
1850,不错[good],happy
1851,加油！[加油][加油] http://t.cn/A6PA923L,happy
1852,感谢老师的辛苦了！！,happy
1853,希望重视一下吧，之前看了逃离武汉这个话题，给我吓得一身冷汗，好多人得病医院不收只好往外省跑[泪],fear
1854,#王一博[超话]# //@说给玫瑰:说的对，这个事说实话也不是他一个小演员的事了，当下这种情况，人群大量聚集一旦被传到网上可能就是社会新闻了。但线上尽量避免焦虑，如果看到人群也别炸毛指责，而且说不定走V呢，说不定自驾呢（这好像不可能，都放平心态，重视但不是恐慌,happy
1855,//@杨洋:#致敬疫情前线医护人员# 愿所有人健康平安！前线医护人员保护好自己，你们辛苦了！[心],happy
1856,//@未来的方书剑:总有人在为我们负重前行，感恩在一线救死扶伤的天使，致敬伟大的英雄！,happy
1857,//@李艺彤:这组照片是杀青以后去迪士尼拍的 没想到没过几天就爆发了肺炎....希望大家减少外出远离密集人群  未来还有很多机会可以去玩可以去聚会 生命和健康是第一位的！！！,happy
1858,致敬,happy
1859,//@杨紫:#致敬疫情前线医护人员#希望大家一定要保护好自己，做好防护措施，愿所有人健康平安！向医护工作者们致敬[心],happy
1860,12//@四娃玊尔 :向所有医护人员致敬！,happy
1861,真的很吓人哦，这次的疫情。。 ??,fear
1862,非常需要 [爱你],happy
1863,#医护人员隔离缓冲区拜年#急！急！急！武汉市第五医院作为新型冠状病毒肺炎定点收治医院，目前医院物资极度缺乏。恳请大家帮忙转发，期盼社会力量能够支援。感谢！感恩！感激！救救第五医院吧 ??,sad
1864,致敬,happy
1865,你也要戴好口罩?注意安全@UNIQ-王一博//@UNIQ-王一博:#致敬疫情前线医护人员#你们辛苦了！愿平安！[心],happy
1866,[微笑]真的气人，现在只能大家齐心协力多宣传，尽力保护好自己也是保护别人，先战胜疫情再说,happy
1867,操操操，我好害怕,fear
1868,痛仰牛逼 ！！！！//@滚圈迷惑行为大赏:愿爱无忧?,happy
1869,#野味肺炎# 不停的刷微博话题，眼泪禁不住在眼眶打转……“非典”那年初中教导主任在国旗台上，让我们万众一心，众志成城！那时网络还不够发达，懵懵懂懂。现如今真切感受到“哪有岁月静好，无数人负重前行”??加油，年三十啦，祈福2020年一切安好??? ??,happy
1870,//@李格浪: 当全国已经动员起来的时候，武汉和湖北的组织能力跟不上，这个时候已经不能按照市场采购流程了，应该运用应急的行政手段集中力量打通流程。平常总说制度先进性，结果现在完全没发挥出高效组织能力？仅派专家不够，直接换帅吧！  http://t.cn/A6PyYQt5,angry
1871,//@质子研投 :看看美国流感也是几百万人传染，上千人死亡，美国也没恐慌啥！[允悲]我们就是被非典搞得心里障碍了……[允悲],sad
1872,好气啊！//@一只和谐的蛇蝎点点 ://@为什么它永无止境 :改革的时候政府主导，天天喊市场化资源分配和政府购买，战时体制一出来，集中力量办大事去哪里了？第一时间请求的竟然是社会援助，这合理吗，作为公共物品分配者的政府都没有办法第一时间调配物资，自己都买不到口罩的民众往哪里支援啊。,angry
1873,//@战争史研究WHS://@Zodzod_张浩://@洛之秋:不确诊就不能住院，但是不住院光在门诊，又无法确诊....这就是前期公布人数偏少的秘招吧？如果有这么严重的疫情，武汉的医院资源严重短缺，那么应该尽快开启小汤山模式了吧？不能再等了,sad
1874,睡前看还是疑似，醒来就成确诊病例了。[可怜],sad
1875,#内蒙古确诊首例新冠肺炎#我在包头可能真的得包头才能防住这个臭傻逼千里送来的病毒[跪了] ??,angry
1876,平安[心][心][心]//@手机用户芝加哥911:平安回来[心][心][悲伤][悲伤][悲伤],happy
1877,[笑而不语]小你你是最与众不同的[抱抱][傻眼]浊,happy
1878,#浙江累计报告新型肺炎病例10例##湖北拟请求紧急支援口罩等医用物资##口罩商3倍工资让回厂加班##新型肺炎确诊440例死亡9例##儿童年轻人对病毒不易感# 买不到口罩的可以试试去医院买！！！！尤其是农村地区，卫生院里一般都有存货，而且可以走农村医保的！我今天去卫生所 挂号?水银温度计?一包医用外科口罩 只花了九块钱！！！ ??? http://t.cn/RJZAOjm嘉兴,surprise
1879,南京加油 挺住,happy
1880,保护好自己！,happy
1881,抽吧辛苦了   武汉加油[加油][加油][加油],happy
1882,甜有100种方式，吃糖，还有每天99次的想你。,happy
1883,新鲜计划100：治愈系拉丝空心小方酥,happy
1884,哈哈哈哈哈//@--ENTHUSIASMING--:就不能学学我们云南人？只爱吃野生菌，只毒自己，不影响别人,happy
1885,一善染心，万劫不朽。百灯旷照，千里通明。加油，保护好自己，平平安安，健健康康，等你归来。,happy
1886,武汉挺住[心][加油][加油]//@李佳航MVP:武汉加油[心]！！,happy
1887,[跪了][跪了][跪了][跪了][跪了][跪了]过完年我还得去广州，怎么办,fear
1888,为武汉加油，一定会越来越好,happy
1889,//@巴斯小板:人间处处有真情。,happy
1890,心疼武汉的市民，谢谢你们的配合，希望你们平安，加油！[泪],happy
1891,#武汉加油# //@UNIQ-王一博:#武汉加油#咱们一起打赢这场防疫战！祝福大家都平安！[心],happy
1892,心疼[悲伤]民众真的一直被瞒着[悲伤],sad
1893,都要加油,happy
1894,#新型冠状病毒来源是野生动物# 想自杀别拉上全世界啊[黑线][黑线][黑线] ??,fear
1895,就很棒啊//@来一杯冰阔乐吗:哈哈哈哈哈哈//@EVLTF:靠嫩娘，真中[good][good][good],happy
1896,最可爱的朋友们！根深蒂固的救死扶伤情结深埋在医生心里。,happy
1897,机场停留两小时…[跪了]停留四小时+坐高铁9小时怎么搞//@谷大白话:家乡父老们注意安全吧//@来去之间:在湖北省仙桃市工作，1月13日回抚顺探亲，乘飞机至沈阳途中在武汉机场停留2小时。1月14日自觉身体酸痛。。。,fear
1898,嘻嘻//@王大陸TaluWang:#武汉加油# 我們一起打赢这场防疫战！也致敬所有的醫護人員！大家都要注意防護～,happy
1899,Us一起[爱你]@朱一龙 //@朱一龙:#武汉加油#我们在一起[心],happy
1900,[加油],happy
1901,//@wu2198:真正懂技术的人，会考虑到我提示的风险！只有无知的人才会将下跌怪到肺炎身上。小散也应该反思一下，为什么喜欢追涨杀跌，为什么动不动就满仓？[思考][思考][思考]我也只能尽力，救一个算一个！,angry
1902,35//@Samuel-汪苏泷银河护卫队:#武汉加油# 我们一起[心]//@汪苏泷:#武汉加油# 我们一起！,happy
1903,//@昭宇yellowcat:英雄[鲜花],happy
1904,太感动……一定要平安归来[泪][泪]//@四川大学:致敬疫情前线的医护工作者们！,happy
1905,加油[拳头]//@X玖少年团肖战DAYTOY:#武汉加油# 加油！我们一直都在！,happy
1906,//@黄俊捷H: #致敬疫情前线医护人员# 辛苦了?希望大家都能保护好自己，平平安安,happy
